"Plot_Name","Unit_Code","Year","Network","cycle","SapPlotNum","SapPlotSize","SeedPlotNum","SeedPlotSize","ShrubPlotNum","ShrubPlotSize","HPlotNum","HPlotSize","excludeEvent","DBI"
"DEWA-087","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-087","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-087","DEWA",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-092","DEWA",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-092","DEWA",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-092","DEWA",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-096","DEWA",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-096","DEWA",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-096","DEWA",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-101","DEWA",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-101","DEWA",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-101","DEWA",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-111","DEWA",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-111","DEWA",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-111","DEWA",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-112","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"DEWA-112","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-112","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4
