"Plot_Name","Network","Unit_Code","cycle","excludeEvent","SapPlotNum","SeedPlotNum","Sor_sap","Hor_sap","Sor_seed","Hor_seed"
"DEWA-008","ERMN","DEWA",1,0,4,4,0.222222222222222,0.199245757385292,0.545454545454545,0.49000074343915
"DEWA-008","ERMN","DEWA",2,0,4,4,0.222222222222222,0.210006583278473,0.666666666666667,0.718460588598477
"DEWA-008","ERMN","DEWA",3,0,4,4,0.222222222222222,0.341098169717138,0.571428571428571,0.333358985705216
"DEWA-019","ERMN","DEWA",1,0,4,4,0.153846153846154,0.878787878787879,0.235294117647059,0.832335329341317
"DEWA-019","ERMN","DEWA",2,0,4,4,0.153846153846154,0.874730021598272,0.454545454545455,0.795853065403814
"DEWA-019","ERMN","DEWA",3,0,4,4,0,0,0.4,0.778743211792087
"DEWA-022","ERMN","DEWA",1,0,4,4,0.363636363636364,0.399140711790451,0.571428571428571,0.309143231924484
"DEWA-022","ERMN","DEWA",2,0,4,4,0.363636363636364,0.394839510551516,0.571428571428571,0.276130987306798
"DEWA-022","ERMN","DEWA",3,0,4,4,0.363636363636364,0.474977454222269,0.75,0.332510202243783
"DEWA-025","ERMN","DEWA",1,0,4,4,0.2,0.141848976711362,0.2,0.909668313338038
"DEWA-025","ERMN","DEWA",2,0,4,4,0.2,0.149453219927096,0,0
"DEWA-025","ERMN","DEWA",3,0,4,4,0.2,0.123847167325428,0,0
"DEWA-026","ERMN","DEWA",1,0,4,4,0,0,0,0
"DEWA-026","ERMN","DEWA",2,0,4,4,0,0,0,0
"DEWA-026","ERMN","DEWA",3,0,4,4,0,0,0,0
"DEWA-027","ERMN","DEWA",1,0,4,4,0.4,0.113273106323836,0.4,0.113273106323836
"DEWA-027","ERMN","DEWA",2,0,4,4,0.4,0.0912052117263844,0.333333333333333,0.142857142857143
"DEWA-027","ERMN","DEWA",3,0,4,4,0.4,0.103734439834025,0.4,0.103734439834025
"DEWA-029","ERMN","DEWA",1,0,4,4,0,0,0.615384615384615,0.406565649416056
"DEWA-029","ERMN","DEWA",2,0,4,4,0,0,0.5,0.360767566732063
"DEWA-029","ERMN","DEWA",3,0,4,4,0,0,0.545454545454545,0.458063855021074
"DEWA-034","ERMN","DEWA",1,0,4,4,0,0,0.444444444444444,0.799789251844046
"DEWA-034","ERMN","DEWA",2,0,4,4,0,0,0.545454545454545,0.875571356018283
"DEWA-034","ERMN","DEWA",3,0,4,4,0,0,0.769230769230769,0.842907281392528
"DEWA-037","ERMN","DEWA",1,0,4,4,0.444444444444444,0.751351351351351,0.533333333333333,0.573221757322176
"DEWA-037","ERMN","DEWA",2,0,4,4,0.444444444444444,0.751351351351351,0.4,0.837707056397885
"DEWA-037","ERMN","DEWA",3,0,4,4,0.285714285714286,0.809290953545232,0.533333333333333,0.709171681861216
"DEWA-045","ERMN","DEWA",1,0,4,4,0.285714285714286,0.378964941569282,0.714285714285714,0.555472787373714
"DEWA-045","ERMN","DEWA",2,0,4,4,0.25,0.213437115936092,0.5,0.790675949340152
"DEWA-045","ERMN","DEWA",3,0,4,4,0.25,0.130736170802717,0.666666666666667,0.873394458565819
"DEWA-048","ERMN","DEWA",1,0,4,4,0.75,0.282051282051282,0.5,0.624317176910985
"DEWA-048","ERMN","DEWA",2,0,4,4,0.666666666666667,0.255354200988468,0.545454545454545,0.708036856084205
"DEWA-048","ERMN","DEWA",3,0,4,4,0.571428571428571,0.418604651162791,0.4,0.606616181745715
"DEWA-054","ERMN","DEWA",1,0,4,4,0.285714285714286,0.60639606396064,0.352941176470588,0.581764765021951
"DEWA-054","ERMN","DEWA",2,0,4,4,0.285714285714286,0.311089303238469,0.307692307692308,0.54467818950873
"DEWA-054","ERMN","DEWA",3,0,4,4,0.25,0.146440599233538,0.375,0.307512977208511
"DEWA-055","ERMN","DEWA",1,0,4,4,0.153846153846154,0.92156862745098,0.571428571428571,0.70847323721114
"DEWA-055","ERMN","DEWA",2,0,4,4,0.307692307692308,0.931106471816284,0.222222222222222,0.836210617177385
"DEWA-055","ERMN","DEWA",3,0,4,4,0.142857142857143,0.95572793491628,0.222222222222222,0.768489236691056
"DEWA-058","ERMN","DEWA",1,0,4,4,0.2,0.73469387755102,0.153846153846154,0.704007285974499
"DEWA-058","ERMN","DEWA",2,0,4,4,0.222222222222222,0.699346405228758,0.181818181818182,0.658281276380213
"DEWA-058","ERMN","DEWA",3,0,4,4,0.25,0.676923076923077,0.266666666666667,0.585741073138576
"DEWA-063","ERMN","DEWA",1,0,4,4,0.461538461538462,0.809453105666914,0.421052631578947,0.859130138031989
"DEWA-063","ERMN","DEWA",2,0,4,4,0.363636363636364,0.785460126979697,0.380952380952381,0.907546246150169
"DEWA-063","ERMN","DEWA",3,0,4,4,0.333333333333333,0.774584081855815,0.315789473684211,0.911294769340228
"DEWA-074","ERMN","DEWA",1,0,4,4,0.285714285714286,0.687451886066205,0.666666666666667,0.943890274314214
"DEWA-074","ERMN","DEWA",2,0,4,4,0,1,0.6,0.942521665788863
"DEWA-074","ERMN","DEWA",3,0,4,4,0,0,0.545454545454545,0.966489252446626
"DEWA-077","ERMN","DEWA",1,0,4,4,0.222222222222222,0.948275862068966,0,1
"DEWA-077","ERMN","DEWA",2,0,4,4,0,0,0.166666666666667,0.842866988283942
"DEWA-077","ERMN","DEWA",3,0,4,4,0,0,0,1
"DEWA-084","ERMN","DEWA",1,0,4,4,0.5,0.777777777777778,0.666666666666667,0.545454545454545
"DEWA-084","ERMN","DEWA",2,0,4,4,0,1,0.5,0.499577215773695
"DEWA-084","ERMN","DEWA",3,0,4,4,0,1,0,1
"DEWA-087","ERMN","DEWA",1,0,4,4,0.4,0.0790067720090293,0.285714285714286,0.852959197176024
"DEWA-087","ERMN","DEWA",2,0,4,4,0.4,0.195530726256983,0.333333333333333,0.760790861464436
"DEWA-087","ERMN","DEWA",3,0,4,4,0.5,0.105346744309158,0.4,0.785701257573924
"DEWA-092","ERMN","DEWA",1,0,4,4,0.666666666666667,0.0174907883364419,0.666666666666667,0.651348271933156
"DEWA-092","ERMN","DEWA",2,0,4,4,0.666666666666667,0.0106692531522795,0.6,0.513631724741216
