"term","estimate","lower95","upper95","num_boots","park","resp"
"Intercept",NA,NA,NA,NA,"GWMP","tree_30cm_BA_NatOth"
"Slope",NA,NA,NA,NA,"GWMP","tree_30cm_BA_NatOth"
"c3_response",NA,NA,NA,NA,"GWMP","tree_30cm_BA_NatOth"
"c1_response",NA,NA,NA,NA,"GWMP","tree_30cm_BA_NatOth"
"c2_response",NA,NA,NA,NA,"GWMP","tree_30cm_BA_NatOth"
"Intercept",4.80180602067582,3.33205138361489,6.37938176548408,1000,"GWMP","tree_30cm_BA_Total"
"Slope",-0.346887040410067,-0.738163632320248,0.0411719690672686,1000,"GWMP","tree_30cm_BA_Total"
"c1_response",4.45491898026576,3.2908539497567,5.78047667472259,1000,"GWMP","tree_30cm_BA_Total"
"c2_response",4.10803193985569,3.08560136894767,5.24961668833074,1000,"GWMP","tree_30cm_BA_Total"
"c3_response",3.76114489944562,2.75788012046237,4.7751513697426,1000,"GWMP","tree_30cm_BA_Total"
"Intercept",4.2441318157839,2.82942121052259,12.025040144721,647,"GWMP","tree_30cm_Dens_Exotic"
"Slope",-0.707355302630647,-2.82942121052259,-0.707355302630646,647,"GWMP","tree_30cm_Dens_Exotic"
"c1_response",3.53677651315325,2.12206590789194,9.19561893419845,647,"GWMP","tree_30cm_Dens_Exotic"
"c2_response",2.8294212105226,1.41471060526129,7.07355302630648,647,"GWMP","tree_30cm_Dens_Exotic"
"c3_response",2.12206590789196,0.707355302630647,4.95148711841456,647,"GWMP","tree_30cm_Dens_Exotic"
"Intercept",44.3275989648534,28.0466377493051,60.8325560262352,1000,"GWMP","tree_30cm_Dens_NatCan"
"Slope",-2.47574355920722,-6.7198753749911,1.7683882565766,1000,"GWMP","tree_30cm_Dens_NatCan"
"c1_response",41.8518554056462,28.2942121052258,55.0558210547519,1000,"GWMP","tree_30cm_Dens_NatCan"
"c2_response",39.3761118464389,27.8226419034722,49.9864413858989,1000,"GWMP","tree_30cm_Dens_NatCan"
"c3_response",36.9003682872317,26.4079312982104,46.5705047369455,1000,"GWMP","tree_30cm_Dens_NatCan"
"Intercept",NA,NA,NA,NA,"GWMP","tree_30cm_Dens_NatOth"
"Slope",NA,NA,NA,NA,"GWMP","tree_30cm_Dens_NatOth"
"c3_response",NA,NA,NA,NA,"GWMP","tree_30cm_Dens_NatOth"
"c1_response",NA,NA,NA,NA,"GWMP","tree_30cm_Dens_NatOth"
"c2_response",NA,NA,NA,NA,"GWMP","tree_30cm_Dens_NatOth"
"Intercept",48.5717307806374,31.5952035175023,63.4379813909248,1000,"GWMP","tree_30cm_Dens_Total"
"Slope",-3.18309886183788,-7.78090832893706,1.4147106052613,1000,"GWMP","tree_30cm_Dens_Total"
"c1_response",45.3886319187996,32.4204513705713,57.4254613185647,1000,"GWMP","tree_30cm_Dens_Total"
"c2_response",42.2055330569617,31.5952035175022,51.8727221929137,1000,"GWMP","tree_30cm_Dens_Total"
"c3_response",39.0224341951238,29.3552450591718,48.5776254081596,1000,"GWMP","tree_30cm_Dens_Total"
"Intercept",-0.0397203580937196,NA,NA,NA,"GWMP","tree_40cm_BA_Exotic"
"Slope",0.0547599107531515,NA,NA,NA,"GWMP","tree_40cm_BA_Exotic"
"c1_response",0.0150395526594319,NA,NA,NA,"GWMP","tree_40cm_BA_Exotic"
"c2_response",0.0697994634125834,NA,NA,NA,"GWMP","tree_40cm_BA_Exotic"
"c3_response",0.124559374165735,NA,NA,NA,"GWMP","tree_40cm_BA_Exotic"
