"park","Network","metric","mean","lower95","upper95"
"ANTI","NCRN","Seed_Dens_Total",1.30769230769231,0.673076923076923,2.09647435897436
"CATO","NCRN","Seed_Dens_Total",0.753472222222222,0.406457270408163,1.17191840277778
"CHOH","NCRN","Seed_Dens_Total",0.588963963963964,0.458208333333333,0.736334150931753
"GWMP","NCRN","Seed_Dens_Total",0.795833333333334,0.4,1.22916666666667
"HAFE","NCRN","Seed_Dens_Total",0.666666666666667,0.449895833333333,0.904166666666666
"MANA","NCRN","Seed_Dens_Total",0.794117647058823,0.328431372549019,1.43639705882353
"MONO","NCRN","Seed_Dens_Total",0.444444444444444,0.199861111111111,0.727777777777779
"NACE","NCRN","Seed_Dens_Total",0.606382978723404,0.385355718085106,0.885945048309178
"PRWI","NCRN","Seed_Dens_Total",0.463793103448276,0.352298850574713,0.601163793103448
"ROCR","NCRN","Seed_Dens_Total",0.596491228070176,0.18859649122807,1.19747807017544
"WOTR","NCRN","Seed_Dens_Total",2.25,0.694444444444444,3.91875
"ACAD","NETN","Seed_Dens_Total",0.512584074636581,0.401301951495866,0.642236807212941
"MABI","NETN","Seed_Dens_Total",0.997745955979846,0.602128082736674,1.40002099354725
"MIMA","NETN","Seed_Dens_Total",0.343410236011668,0.21207902413153,0.497215592680986
"MORR","NETN","Seed_Dens_Total",0.55877561844149,0.285875288858582,0.878011705875668
"ROVA","NETN","Seed_Dens_Total",0.623839830283744,0.416981569875365,0.935461416070008
"SAGA","NETN","Seed_Dens_Total",0.218459168339837,0.118700357363842,0.32708893687414
"SARA","NETN","Seed_Dens_Total",1.05824051975603,0.678678566693185,1.57981967647839
"WEFA","NETN","Seed_Dens_Total",0.485282418456643,0.19351630867144,0.819543887562981
"ALPO","ERMN","Sap_Dens_NatCan",0.0117523685542779,0.00452014175164534,0.0199112244159977
"BLUE","ERMN","Sap_Dens_NatCan",0.0407716785998409,0.0288260739856802,0.0532020684168656
"DEWA","ERMN","Sap_Dens_NatCan",0.0550914876690533,0.0381655155372339,0.0737314184879108
"FONE","ERMN","Sap_Dens_NatCan",0.0328162291169451,0.0148916070007955,0.0537241447891805
"FRHI","ERMN","Sap_Dens_NatCan",0.0258552108194113,0.0119331742243437,0.0437798329355609
"GARI","ERMN","Sap_Dens_NatCan",0.0786074175095655,0.0531826084759155,0.10466734717637
"JOFL","ERMN","Sap_Dens_NatCan",0.0480641739591621,0.0281755502519226,0.0696101829753381
"NERI","ERMN","Sap_Dens_NatCan",0.0670753583851998,0.0547912084483754,0.078774548801223
"APCO","MIDN","Sap_Dens_NatCan",0.134333889197702,0.0938863341587078,0.179824228948743
"BOWA","MIDN","Sap_Dens_NatCan",0.0840113194198798,0.0544968164131588,0.117910623747199
"COLO","NCBN","Sap_Dens_NatCan",0.0353731871241599,0.0198190197362314,0.0566495919867024
"FRSP","MIDN","Sap_Dens_NatCan",0.0651909698602306,0.0547575802925998,0.0752842326285906
"GETT","MIDN","Sap_Dens_NatCan",0.107548781054264,0.0678879348847513,0.150791609051248
"GEWA","NCBN","Sap_Dens_NatCan",0.01179106237472,0,0.0338993043273199
"HOFU","MIDN","Sap_Dens_NatCan",0.01547576936682,0.00515858978893999,0.0280221966749204
