"term","estimate","lower95","upper95","num_boots","park","resp"
"c3_response",11.5747848688002,6.35519629089619,17.89272419944,1000,"BLUE","Tree_Dens_FRAX"
"Intercept",7.7338614432289,3.33210766477924,12.3895338381725,979,"BLUE","Tree_Dens_FAGGRA"
"Slope",0.725563973032659,0.179271816464972,1.43916725802601,979,"BLUE","Tree_Dens_FAGGRA"
"c1_response",8.45942541626155,3.97179457736878,13.1456035477245,979,"BLUE","Tree_Dens_FAGGRA"
"c2_response",9.18498938929421,4.55907128454904,14.0779247182414,979,"BLUE","Tree_Dens_FAGGRA"
"c3_response",9.91055336232687,5.03457274812092,15.1389961668279,979,"BLUE","Tree_Dens_FAGGRA"
"Intercept",26.3792303453193,7.47594110256187,53.1386664740828,997,"BLUE","Tree_Dens_TSUCAN"
"Slope",-3.92782191801787,-8.25755173814881,-0.695481283023713,997,"BLUE","Tree_Dens_TSUCAN"
"c1_response",22.4514084273014,6.70973804237179,45.0494786119574,997,"BLUE","Tree_Dens_TSUCAN"
"c2_response",18.5235865092836,5.60031423307635,37.896550823211,997,"BLUE","Tree_Dens_TSUCAN"
"c3_response",14.5957645912657,4.22829546146435,30.733509726511,997,"BLUE","Tree_Dens_TSUCAN"
"Intercept",-0.12477584563061,NA,NA,NA,"BLUE","Tree_Dens_ASITRI"
"Slope",0.178195744041092,NA,NA,NA,"BLUE","Tree_Dens_ASITRI"
"c1_response",0.0534198984104817,NA,NA,NA,"BLUE","Tree_Dens_ASITRI"
"c2_response",0.231615642451574,NA,NA,NA,"BLUE","Tree_Dens_ASITRI"
"c3_response",0.409811386492666,NA,NA,NA,"BLUE","Tree_Dens_ASITRI"
"Intercept",0.0669141278423371,NA,NA,NA,"BLUE","Sap_BA_FRAX"
"Slope",-0.0155855476030772,NA,NA,NA,"BLUE","Sap_BA_FRAX"
"c1_response",0.0513285802392599,NA,NA,NA,"BLUE","Sap_BA_FRAX"
"c2_response",0.0357430326361827,NA,NA,NA,"BLUE","Sap_BA_FRAX"
"c3_response",0.0201574850331055,NA,NA,NA,"BLUE","Sap_BA_FRAX"
"Intercept",0.0030620644044529,NA,NA,NA,"BLUE","Sap_BA_FAGGRA"
"Slope",0.0107213573455305,NA,NA,NA,"BLUE","Sap_BA_FAGGRA"
"c1_response",0.0137834217499834,NA,NA,NA,"BLUE","Sap_BA_FAGGRA"
"c2_response",0.024504779095514,NA,NA,NA,"BLUE","Sap_BA_FAGGRA"
"c3_response",0.0352261364410445,NA,NA,NA,"BLUE","Sap_BA_FAGGRA"
"Intercept",NA,NA,NA,NA,"BLUE","Sap_BA_TSUCAN"
"Slope",NA,NA,NA,NA,"BLUE","Sap_BA_TSUCAN"
"c1_response",NA,NA,NA,NA,"BLUE","Sap_BA_TSUCAN"
"c2_response",NA,NA,NA,NA,"BLUE","Sap_BA_TSUCAN"
"c3_response",NA,NA,NA,NA,"BLUE","Sap_BA_TSUCAN"
"Intercept",0.00765768854705055,NA,NA,NA,"BLUE","Sap_BA_ASITRI"
"Slope",0.0213249067904184,NA,NA,NA,"BLUE","Sap_BA_ASITRI"
"c1_response",0.0289825953374689,NA,NA,NA,"BLUE","Sap_BA_ASITRI"
"c2_response",0.0503075021278873,NA,NA,NA,"BLUE","Sap_BA_ASITRI"
"c3_response",0.0716324089183057,NA,NA,NA,"BLUE","Sap_BA_ASITRI"
"Intercept",0.00180745337911982,NA,NA,NA,"BLUE","Sap_Dens_FRAX"
"Slope",-0.000253838529079603,NA,NA,NA,"BLUE","Sap_Dens_FRAX"
"c1_response",0.00155361485004022,NA,NA,NA,"BLUE","Sap_Dens_FRAX"
"c2_response",0.00129977632096061,NA,NA,NA,"BLUE","Sap_Dens_FRAX"
"c3_response",0.00104593779188101,NA,NA,NA,"BLUE","Sap_Dens_FRAX"
"Intercept",NA,NA,NA,NA,"BLUE","Sap_Dens_FAGGRA"
"Slope",NA,NA,NA,NA,"BLUE","Sap_Dens_FAGGRA"
"c1_response",NA,NA,NA,NA,"BLUE","Sap_Dens_FAGGRA"
"c2_response",NA,NA,NA,NA,"BLUE","Sap_Dens_FAGGRA"
"c3_response",NA,NA,NA,NA,"BLUE","Sap_Dens_FAGGRA"
"Intercept",0.00559119438985107,NA,NA,NA,"BLUE","Sap_Dens_TSUCAN"
"Slope",-0.000762224488643195,NA,NA,NA,"BLUE","Sap_Dens_TSUCAN"
"c1_response",0.00482896990120787,NA,NA,NA,"BLUE","Sap_Dens_TSUCAN"
"c2_response",0.00406674541256468,NA,NA,NA,"BLUE","Sap_Dens_TSUCAN"
"c3_response",0.00330452092392148,NA,NA,NA,"BLUE","Sap_Dens_TSUCAN"
"Intercept",0.0131330535176959,NA,NA,NA,"BLUE","Sap_Dens_ASITRI"
"Slope",-0.000255391887560963,NA,NA,NA,"BLUE","Sap_Dens_ASITRI"
"c1_response",0.0128776616301349,NA,NA,NA,"BLUE","Sap_Dens_ASITRI"
