"Plot_Name","Network","Unit_Code","Year","cycle","lat_rank","excludeEvent","Tree_BA_FRAX","Tree_BA_FAGGRA","Tree_BA_TSUCAN","Tree_BA_ASITRI","Tree_Dens_FRAX","Tree_Dens_FAGGRA","Tree_Dens_TSUCAN","Tree_Dens_ASITRI","Sap_BA_FRAX","Sap_BA_FAGGRA","Sap_BA_TSUCAN","Sap_BA_ASITRI","Sap_Dens_FRAX","Sap_Dens_FAGGRA","Sap_Dens_TSUCAN","Sap_Dens_ASITRI","Seed_Dens_FRAX","Seed_Dens_FAGGRA","Seed_Dens_TSUCAN","Seed_Dens_ASITRI"
"BLUE-019","ERMN","BLUE",2015,2,6,0,4.19365425100938,0,0,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0,5.60859188544153,0.0397772474144789,0,0
"BLUE-019","ERMN","BLUE",2019,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10023866348449,0.0198886237072395,0,0.0596658711217184
"BLUE-027","ERMN","BLUE",2009,1,6,0,0.187778216883905,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.0198886237072395,0,0,0
"BLUE-027","ERMN","BLUE",2013,2,6,0,0.193600452721015,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.0198886237072395,0,0,0
"BLUE-027","ERMN","BLUE",2017,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198886237072395,0,0,0
"BLUE-030","ERMN","BLUE",2008,1,6,0,1.13778043839715,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.0795544948289578,0,0,0
"BLUE-030","ERMN","BLUE",2012,2,6,0,1.22471397501843,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.159108989657916,0,0,0
"BLUE-030","ERMN","BLUE",2016,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258552108194113,0,0,0
"BLUE-034","ERMN","BLUE",2009,1,6,0,0,0.871490926809006,0,0,0,56.5884242104517,0,0,0,0,0,0,0,0,0,0,0,0.0596658711217184,0,0.0198886237072395
"BLUE-034","ERMN","BLUE",2013,2,6,0,0,1.12550263190859,0,0,0,70.7355302630646,0,0,0,0,0,0,0,0,0,0,0,0.0994431185361973,0,0
"BLUE-034","ERMN","BLUE",2017,3,6,0,0,1.32471420886193,0,0,0,70.7355302630646,0,0,0,0,0,0,0,0,0,0,0,0.139220365950676,0,0
"BLUE-038","ERMN","BLUE",2010,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-038","ERMN","BLUE",2014,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-038","ERMN","BLUE",2018,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-040","ERMN","BLUE",2009,1,6,0,0.196544904050852,0,0,0,14.1471060526129,0,0,0,0.659967183770883,0,0,0,0.0198886237072395,0,0,0,0.457438345266508,0.0198886237072395,0,0
"BLUE-040","ERMN","BLUE",2013,2,6,0,0.214678279787806,0,0,0,14.1471060526129,0,0,0,0.472520883054893,0,0,0,0.0198886237072395,0,0,0,0.715990453460621,0.0198886237072395,0,0
"BLUE-040","ERMN","BLUE",2017,3,6,0,0.256711711413357,0,0,0,14.1471060526129,0,0,0,0.562338902147971,0,0,0,0.0198886237072395,0,0,0,2.3667462211615,0.0397772474144789,0,0
"BLUE-041","ERMN","BLUE",2010,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139220365950676,0.0198886237072395,0,0
"BLUE-041","ERMN","BLUE",2014,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497215592680986,0,0,0
"BLUE-041","ERMN","BLUE",2018,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775656324582339,0.119331742243437,0,0
"BLUE-043","ERMN","BLUE",2011,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218774860779634,0.0198886237072395,0,0
"BLUE-043","ERMN","BLUE",2015,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278440731901352,0.0198886237072395,0,0
"BLUE-043","ERMN","BLUE",2019,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676213206046142,0.0198886237072395,0,0
"BLUE-044","ERMN","BLUE",2009,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-044","ERMN","BLUE",2013,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-044","ERMN","BLUE",2017,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-047","ERMN","BLUE",2008,1,6,0,0.833657505004882,0,0,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-047","ERMN","BLUE",2012,2,6,0,1.06139137087781,0,0,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-047","ERMN","BLUE",2016,3,6,0,1.29619191994235,0,0,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0,0.0596658711217184,0,0,0
"BLUE-049","ERMN","BLUE",2008,1,6,0,4.69445542209762,0,0,0,14.1471060526129,0,0,0,0.0976282816229117,0,0,0.734164677804296,0.0198886237072395,0,0,0.298329355608592,0.0397772474144789,0,0,0.934765314240255
"BLUE-049","ERMN","BLUE",2012,2,6,0,6.58779318286788,0,0,0.120178058805699,14.1471060526129,0,0,14.1471060526129,0.0624821002386635,0,0,1.12858293556086,0.0198886237072395,0,0,0.397772474144789,0.198886237072395,0,0,1.412092283214
"BLUE-049","ERMN","BLUE",2016,3,6,0,6.84696045557896,0,0,0.149511460733126,14.1471060526129,0,0,14.1471060526129,0.0976282816229117,0,0,1.8978937947494,0.0198886237072395,0,0,0.338106603023071,0.397772474144789,0.0198886237072395,0,1.11376292760541
