"Plot_Name","Park","Network","Year","hummod300m","DBI","x","y","PROVINCE","Physiographic_Class","cancov","tmax","precip","stage_fac","QMD","mDBH","Tree_BA_Total","Tree_Dens_Total","Sap_Dens_NatCan","Seed_Dens_NatCan","Sap_Dens_NatOth","Seed_Dens_NatOth","Sap_Dens_Exotic","Seed_Dens_Exotic","stock_final","Sap_Dens_Total","Seed_Dens_Total","Sor_seed","Sor_sap","avg.cover","dm_park"
"NERI-235","NERI","ERMN",2018,0,2,1302437.8417823,1746670.79540088,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",85,-0.0465265475213528,0.0957482010126114,"Late Succ.",35.4221802991128,31.8,48.7952029930324,495.148711841452,0.0198886237072395,0.159108989657916,0.0397772474144789,0.696101829753381,0.0198886237072395,0.238663484486873,14.5,0.0795544948289578,1.09387430389817,0.4,0.181818181818182,0.291666667,0
"NERI-237","NERI","ERMN",2018,0.01999999769032,3,1306120.25548998,1747195.4941971,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",86,-0.0472000725567341,0.0984821319580078,"Late Succ.",30.6996091180328,25.8028571428571,36.6515412626019,495.148711841452,0.0795544948289578,0.338106603023071,0,0.079554494828958,0,0,26.5,0.0795544948289578,0.417661097852029,0.533333333333333,0.222222222222222,3.225,0
"NERI-240","NERI","ERMN",2017,0,3,1309055.78271625,1747666.74226928,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry",91,-0.0478567779064178,0.0977732911705971,"Mature",25.8450735361104,23.4347826086957,34.1406576132997,650.766878420194,0.159108989657916,0.37788385043755,0.039777247414479,0.119331742243436,0,0,43.25,0.198886237072395,0.497215592680986,0.4,0.4,0,0
"NERI-245","NERI","ERMN",2016,0,3,1297800.21967809,1745100.98379582,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",90,-0.045910406857729,0.0759902745485306,"Late Succ.",29.5743442316934,24.9163265306122,47.6195002437344,693.208196578033,0.0198886237072395,0,0.0198886237072394,0,0,0,0,0.0397772474144789,0,0,0.307692307692308,0.008333333,0
"NERI-249","NERI","ERMN",2016,0.00999999884516001,3,1306616.84757957,1746508.37075064,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",93,-0.0472000725567341,0.0984821319580078,"Late Succ.",29.0201893324094,23.3694444444444,33.6869343300775,509.295817894065,0.0198886237072395,0.298329355608592,0.0596658711217183,1.55131264916468,0,0.0198886237072395,5.25,0.0795544948289578,1.86953062848051,0.461538461538462,0.25,0.016666667,0
"NERI-252","NERI","ERMN",2016,0.00000000306807113048535,3,1309529.53008637,1746971.88792859,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",92,-0.0478567779064178,0.0977732911705971,"Late Succ.",33.116185229249,29.0793103448276,35.3376048567209,410.266075525775,0.0795544948289578,1.47175815433572,0,0.7557677008751,0,0,94,0.0795544948289578,2.22752585521082,0.521739130434783,0,0,0
"NERI-253","NERI","ERMN",2019,0.0100000025704503,2,1310274.56581442,1747087.37623003,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",92,-0.0478567779064178,0.0977732911705971,"Mosaic",23.4144629058779,20.3707317073171,24.9753028474301,580.03134815713,0.0795544948289578,0.477326968973747,0.0397772474144792,0.556881463802703,0,0,31.5,0.119331742243437,1.03420843277645,0.666666666666667,0.5,0,0
"NERI-264","NERI","ERMN",2016,0,3,1311250.6193434,1745707.32354529,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry",87,-0.0435852520167828,0.100424580276012,"Mature",32.0063424565633,28.8425531914894,53.496880654241,664.913984472807,0.0795544948289578,0.0795544948289578,0,0.0397772474144792,0,0,18.25,0.0795544948289578,0.119331742243437,0.333333333333333,0.727272727272727,0,0
"NERI-270","NERI","ERMN",2016,0,3,1301949.29297296,1742693.72694632,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry",87,-0.0424936637282372,0.0970871821045876,"Mosaic",35.3075619176888,32.5892857142857,38.7839462490807,396.118969473162,0.0397772474144789,0.636435958631663,0.0994431185361971,1.17342879872713,0,0,8.75,0.139220365950676,1.80986475735879,0.363636363636364,0.222222222222222,0,0
"NERI-274","NERI","ERMN",2018,0,2,1301696.75255207,1741885.32915876,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",90,-0.0424936637282372,0.0970871821045876,"Mosaic",37.9630553489649,34.1071428571429,22.4186190910275,198.059484736581,0,0.0795544948289578,0,0.0198886237072395,0,0,1,0,0.0994431185361973,0.222222222222222,0,0,0
