"term","estimate","lower95","upper95","num_boots","Macrogroup","resp"
"c2_response",0.704050298452652,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_Exotic"
"c3_response",0.856331120425373,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_Exotic"
"Intercept",61.1324044469626,54.4062379911724,68.0558277274817,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_NatCan"
"Slope",-1.68867754552265,-3.32580737447022,-0.00256388798545177,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_NatCan"
"c1_response",59.4437269014399,53.5770703309739,65.7003417112045,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_NatCan"
"c2_response",57.7550493559173,52.4614956611213,63.6652521771133,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_NatCan"
"c3_response",56.0663718103946,50.4433575557375,62.2114196329691,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_NatCan"
"Intercept",3.88129628059784,2.40742135036246,6.33682438915233,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_NatOth"
"Slope",-0.376819540719001,-0.802754840082723,0.0205693046142262,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_NatOth"
"c1_response",3.50447673987884,2.19026048109859,5.90685697528296,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_NatOth"
"c2_response",3.12765719915984,1.85969905036474,5.52052615472981,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_NatOth"
"c3_response",2.75083765844084,1.3894056428804,5.23370270550422,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_NatOth"
"Intercept",65.3414610686352,58.3753141265026,72.8314503197051,995,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_Total"
