"park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order"
"DEWA",4,"Stocking Index","Status","caution",4,"Probable Failure","Stocking Index"
"DEWA",9,"Deer Browse Impacts","Status","caution",4,"Probable Failure","Deer Browse Impacts"
"DEWA",10,"Flat Tree Diam. Dist.","Status","acceptable",4,"Probable Failure","Flat Tree Diam. Dist."
"DEWA",5,"Sapling Composition","Status","critical",4,"Probable Failure","Sapling Composition"
"DEWA",6,"Seedling Composition","Status","caution",4,"Probable Failure","Seedling Composition"
"DEWA",7,"Sorensen Sapling","Status","critical",4,"Probable Failure","Sorensen Sapling"
"DEWA",8,"Sorensen Seedling","Status","acceptable",4,"Probable Failure","Sorensen Seedling"
"DEWA",10,"Tree BA","Total","nonsign",4,"Probable Failure","Tree BA"
"DEWA",11,"Tree Density","Total","signdec_bad",4,"Probable Failure","Tree Density"
"DEWA",12,"Sapling BA","Total","signdec_bad",4,"Probable Failure","Sapling BA"
"DEWA",13,"Sapling Density","Total","nonsign",4,"Probable Failure","Sapling Density"
"DEWA",14,"Seedling Density","Total","signinc_good",4,"Probable Failure","Seedling Density"
"DEWA",15,"Tree BA","Native Canopy","nonsign",4,"Probable Failure","Tree BA"
"DEWA",16,"Tree Density","Native Canopy","signdec_bad",4,"Probable Failure","Tree Density"
"DEWA",17,"Sapling BA","Native Canopy","signdec_bad",4,"Probable Failure","Sapling BA"
"DEWA",18,"Sapling Density","Native Canopy","nonsign",4,"Probable Failure","Sapling Density"
"DEWA",19,"Seedling Density","Native Canopy","signinc_good",4,"Probable Failure","Seedling Density"
"DEWA",30,"Stocking Index","Native Canopy","signinc_good",4,"Probable Failure","Stocking Index"
"DEWA",20,"Tree BA","Native Subcan.","nonsign",4,"Probable Failure","Tree BA"
"DEWA",21,"Tree Density","Native Subcan.","signdec_bad",4,"Probable Failure","Tree Density"
"DEWA",22,"Sapling BA","Native Subcan.","nonsign",4,"Probable Failure","Sapling BA"
"DEWA",23,"Sapling Density","Native Subcan.","nonsign",4,"Probable Failure","Sapling Density"
"DEWA",24,"Seedling Density","Native Subcan.","signinc_good",4,"Probable Failure","Seedling Density"
"DEWA",25,"Tree BA","Exotic","notmod",4,"Probable Failure","Tree BA"
"DEWA",26,"Tree Density","Exotic","notmod",4,"Probable Failure","Tree Density"
"DEWA",27,"Sapling BA","Exotic","notmod",4,"Probable Failure","Sapling BA"
"DEWA",28,"Sapling Density","Exotic","notmod",4,"Probable Failure","Sapling Density"
"DEWA",29,"Seedling Density","Exotic","notmod",4,"Probable Failure","Seedling Density"
"FONE",1,"Sapling Density","Status","critical",5,"Probable Failure","Sapling Density"
"FONE",2,"Seedling Density","Status","caution",5,"Probable Failure","Seedling Density"
"FONE",3,"% Stocked Plots","Status","critical",5,"Probable Failure","% Stocked Plots"
"FONE",4,"Stocking Index","Status","caution",5,"Probable Failure","Stocking Index"
"FONE",9,"Deer Browse Impacts","Status","caution",5,"Probable Failure","Deer Browse Impacts"
