"term","estimate","lower95","upper95","num_boots","park","resp","Network","lat_rank","park_ord","network_ord","strp_col"
"Intercept",217.580971612495,166.424983702267,275.30257150323,1000,"ALPO","tree_10cm_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-21.8620338712914,-31.8325720188114,-13.0267471124894,1000,"ALPO","tree_10cm_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",195.718937741204,152.677288963741,247.431566227726,1000,"ALPO","tree_10cm_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",173.856903869913,136.035710074495,218.446444198432,1000,"ALPO","tree_10cm_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",151.994869998621,118.871814152276,190.626243043076,1000,"ALPO","tree_10cm_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.257676914982412,0.0358100120173105,0.575918402943144,984,"ALPO","tree_20cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.0451755112533739,-0.134460481860395,0.0197208381707617,984,"ALPO","tree_20cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.212501403729038,0.0472281461127004,0.454210786579302,984,"ALPO","tree_20cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.167325892475664,0.0224203813394825,0.358674688252133,984,"ALPO","tree_20cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.12215038122229,-0.0129634636512505,0.301825937294078,984,"ALPO","tree_20cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",5.39048695964276,4.17231648721003,6.76180020456786,1000,"ALPO","tree_20cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.239091857283517,-0.463191786544324,-0.0372002608958709,1000,"ALPO","tree_20cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",5.15139510235924,3.97534766810471,6.48827976917886,1000,"ALPO","tree_20cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",4.91230324507572,3.79787287789366,6.18317977921985,1000,"ALPO","tree_20cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",4.67321138779221,3.51426771036981,5.99227886797978,1000,"ALPO","tree_20cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.547350145487876,0.159603104462977,1.13438885259699,1000,"ALPO","tree_20cm_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",0.010154231065316,-0.0438087526687901,0.0721504387223362,1000,"ALPO","tree_20cm_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.557504376553192,0.157875817068998,1.17994026089579,1000,"ALPO","tree_20cm_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.567658607618508,0.155578171737248,1.22226764785515,1000,"ALPO","tree_20cm_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.577812838683824,0.148829570998081,1.29872159072631,1000,"ALPO","tree_20cm_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",6.19427829405928,4.86399977865877,7.59491039179679,1000,"ALPO","tree_20cm_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.273186342931347,-0.480819771873702,-0.068297367996512,1000,"ALPO","tree_20cm_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",5.92109195112793,4.7266687453165,7.27532683776167,1000,"ALPO","tree_20cm_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",5.64790560819659,4.48056920881743,6.91659119506495,1000,"ALPO","tree_20cm_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",5.37471926526524,4.22238470494494,6.59708448835356,1000,"ALPO","tree_20cm_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",5.79562253676224,0.98995060524421,12.8310567613921,984,"ALPO","tree_20cm_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.957306077466514,-2.83229343972228,0.315901295939136,984,"ALPO","tree_20cm_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",4.83831645929573,0.984724965752804,10.4484222957794,984,"ALPO","tree_20cm_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
